# Temperatura celda = 26.9º, Temperatura Laser = 23.926º, Frecuencia Rampa = 77.14 Hz, Amplitud = 78 mVpp, Offset = -3.9 mV 
t1 [us]      ,ch1 [V]     ,t2 [us]      ,ch2 [V]     
1881.280,   -0.066, 1881.280,    0.026
1882.304,   -0.066, 1882.304,    0.026
1883.328,   -0.068, 1883.328,    0.026
1884.352,   -0.067, 1884.352,    0.026
1885.376,   -0.065, 1885.376,    0.026
1886.400,   -0.074, 1886.400,    0.026
1887.424,   -0.063, 1887.424,    0.026
1888.448,   -0.065, 1888.448,    0.026
1889.472,   -0.066, 1889.472,    0.026
1890.496,   -0.062, 1890.496,    0.026
1891.520,   -0.066, 1891.520,    0.026
1892.544,   -0.069, 1892.544,    0.026
1893.568,   -0.070, 1893.568,    0.026
1894.592,   -0.067, 1894.592,    0.026
1895.616,   -0.066, 1895.616,    0.026
1896.640,   -0.065, 1896.640,    0.026
1897.664,   -0.067, 1897.664,    0.026
1898.688,   -0.066, 1898.688,    0.026
1899.712,   -0.069, 1899.712,    0.026
1900.736,   -0.067, 1900.736,    0.026
1901.760,   -0.064, 1901.760,    0.026
1902.784,   -0.068, 1902.784,    0.026
1903.808,   -0.066, 1903.808,    0.026
1904.832,   -0.071, 1904.832,    0.026
1905.856,   -0.065, 1905.856,    0.026
1906.880,   -0.068, 1906.880,    0.026
1907.904,   -0.069, 1907.904,    0.026
1908.928,   -0.070, 1908.928,    0.026
1909.952,   -0.068, 1909.952,    0.026
1910.976,   -0.066, 1910.976,    0.026
1912.000,   -0.070, 1912.000,    0.026
1913.024,   -0.069, 1913.024,    0.026
1914.048,   -0.068, 1914.048,    0.026
1915.072,   -0.064, 1915.072,    0.026
1916.096,   -0.070, 1916.096,    0.026
1917.120,   -0.064, 1917.120,    0.027
1918.144,   -0.069, 1918.144,    0.027
1919.168,   -0.070, 1919.168,    0.027
1920.192,   -0.066, 1920.192,    0.027
1921.216,   -0.064, 1921.216,    0.027
1922.240,   -0.068, 1922.240,    0.027
1923.264,   -0.065, 1923.264,    0.027
1924.288,   -0.071, 1924.288,    0.027
1925.312,   -0.068, 1925.312,    0.027
1926.336,   -0.067, 1926.336,    0.027
1927.360,   -0.070, 1927.360,    0.027
1928.384,   -0.068, 1928.384,    0.027
1929.408,   -0.071, 1929.408,    0.027
1930.432,   -0.070, 1930.432,    0.027
1931.456,   -0.065, 1931.456,    0.027
1932.480,   -0.070, 1932.480,    0.027
1933.504,   -0.064, 1933.504,    0.027
1934.528,   -0.069, 1934.528,    0.027
1935.552,   -0.075, 1935.552,    0.027
1936.576,   -0.067, 1936.576,    0.027
1937.600,   -0.069, 1937.600,    0.027
1938.624,   -0.071, 1938.624,    0.027
1939.648,   -0.068, 1939.648,    0.027
1940.672,   -0.068, 1940.672,    0.027
1941.696,   -0.069, 1941.696,    0.027
1942.720,   -0.068, 1942.720,    0.027
1943.744,   -0.067, 1943.744,    0.027
1944.768,   -0.068, 1944.768,    0.027
1945.792,   -0.068, 1945.792,    0.027
1946.816,   -0.070, 1946.816,    0.027
1947.840,   -0.070, 1947.840,    0.027
1948.864,   -0.065, 1948.864,    0.027
1949.888,   -0.069, 1949.888,    0.027
1950.912,   -0.073, 1950.912,    0.027
1951.936,   -0.070, 1951.936,    0.027
1952.960,   -0.069, 1952.960,    0.027
1953.984,   -0.069, 1953.984,    0.027
1955.008,   -0.073, 1955.008,    0.027
1956.032,   -0.065, 1956.032,    0.027
1957.056,   -0.067, 1957.056,    0.027
1958.080,   -0.069, 1958.080,    0.027
1959.104,   -0.071, 1959.104,    0.027
1960.128,   -0.069, 1960.128,    0.027
1961.152,   -0.070, 1961.152,    0.027
1962.176,   -0.063, 1962.176,    0.027
1963.200,   -0.069, 1963.200,    0.027
1964.224,   -0.073, 1964.224,    0.027
1965.248,   -0.069, 1965.248,    0.027
1966.272,   -0.066, 1966.272,    0.027
1967.296,   -0.069, 1967.296,    0.027
1968.320,   -0.066, 1968.320,    0.027
1969.344,   -0.065, 1969.344,    0.027
1970.368,   -0.069, 1970.368,    0.027
1971.392,   -0.067, 1971.392,    0.027
1972.416,   -0.072, 1972.416,    0.027
1973.440,   -0.068, 1973.440,    0.027
1974.464,   -0.073, 1974.464,    0.027
1975.488,   -0.068, 1975.488,    0.027
1976.512,   -0.068, 1976.512,    0.027
1977.536,   -0.071, 1977.536,    0.027
1978.560,   -0.070, 1978.560,    0.027
1979.584,   -0.073, 1979.584,    0.027
1980.608,   -0.071, 1980.608,    0.027
1981.632,   -0.068, 1981.632,    0.027
1982.656,   -0.070, 1982.656,    0.027
1983.680,   -0.071, 1983.680,    0.027
1984.704,   -0.071, 1984.704,    0.027
1985.728,   -0.069, 1985.728,    0.027
1986.752,   -0.069, 1986.752,    0.027
1987.776,   -0.070, 1987.776,    0.028
1988.800,   -0.070, 1988.800,    0.028
1989.824,   -0.067, 1989.824,    0.028
1990.848,   -0.070, 1990.848,    0.028
1991.872,   -0.069, 1991.872,    0.028
1992.896,   -0.073, 1992.896,    0.028
1993.920,   -0.068, 1993.920,    0.028
1994.944,   -0.070, 1994.944,    0.028
1995.968,   -0.073, 1995.968,    0.028
1996.992,   -0.070, 1996.992,    0.028
1998.016,   -0.070, 1998.016,    0.028
1999.040,   -0.074, 1999.040,    0.028
2000.064,   -0.073, 2000.064,    0.028
2001.088,   -0.070, 2001.088,    0.028
2002.112,   -0.073, 2002.112,    0.028
2003.136,   -0.070, 2003.136,    0.028
2004.160,   -0.070, 2004.160,    0.028
2005.184,   -0.074, 2005.184,    0.028
2006.208,   -0.072, 2006.208,    0.028
2007.232,   -0.069, 2007.232,    0.028
2008.256,   -0.070, 2008.256,    0.028
2009.280,   -0.069, 2009.280,    0.028
2010.304,   -0.069, 2010.304,    0.028
2011.328,   -0.069, 2011.328,    0.028
2012.352,   -0.071, 2012.352,    0.028
2013.376,   -0.069, 2013.376,    0.028
2014.400,   -0.070, 2014.400,    0.028
2015.424,   -0.073, 2015.424,    0.028
2016.448,   -0.074, 2016.448,    0.028
2017.472,   -0.072, 2017.472,    0.028
2018.496,   -0.073, 2018.496,    0.028
2019.520,   -0.066, 2019.520,    0.028
2020.544,   -0.070, 2020.544,    0.028
2021.568,   -0.070, 2021.568,    0.028
2022.592,   -0.072, 2022.592,    0.028
2023.616,   -0.070, 2023.616,    0.028
2024.640,   -0.074, 2024.640,    0.028
2025.664,   -0.073, 2025.664,    0.028
2026.688,   -0.077, 2026.688,    0.028
2027.712,   -0.073, 2027.712,    0.028
2028.736,   -0.073, 2028.736,    0.028
2029.760,   -0.075, 2029.760,    0.028
2030.784,   -0.071, 2030.784,    0.028
2031.808,   -0.078, 2031.808,    0.028
2032.832,   -0.073, 2032.832,    0.028
2033.856,   -0.073, 2033.856,    0.028
2034.880,   -0.076, 2034.880,    0.028
2035.904,   -0.076, 2035.904,    0.028
2036.928,   -0.074, 2036.928,    0.028
2037.952,   -0.075, 2037.952,    0.028
2038.976,   -0.072, 2038.976,    0.028
2040.000,   -0.072, 2040.000,    0.028
2041.024,   -0.069, 2041.024,    0.028
2042.048,   -0.076, 2042.048,    0.028
2043.072,   -0.072, 2043.072,    0.028
2044.096,   -0.070, 2044.096,    0.028
2045.120,   -0.076, 2045.120,    0.028
2046.144,   -0.074, 2046.144,    0.028
2047.168,   -0.072, 2047.168,    0.028
2048.192,   -0.071, 2048.192,    0.028
2049.216,   -0.073, 2049.216,    0.028
2050.240,   -0.074, 2050.240,    0.028
2051.264,   -0.073, 2051.264,    0.028
2052.288,   -0.076, 2052.288,    0.028
2053.312,   -0.074, 2053.312,    0.028
2054.336,   -0.076, 2054.336,    0.028
2055.360,   -0.069, 2055.360,    0.028
2056.384,   -0.072, 2056.384,    0.028
2057.408,   -0.076, 2057.408,    0.028
2058.432,   -0.074, 2058.432,    0.028
2059.456,   -0.074, 2059.456,    0.029
2060.480,   -0.076, 2060.480,    0.029
2061.504,   -0.075, 2061.504,    0.029
2062.528,   -0.073, 2062.528,    0.029
2063.552,   -0.075, 2063.552,    0.029
