# Temperatura celda = 26.6º, Temperatura Laser = 23.926º, Frecuencia Rampa = 79.13 Hz, Amplitud = 76 mVpp, Offset = -4.9 mV, Error Mean = 327, Error std = 608 
t1 [us]      ,ch1 [V]     ,t2 [us]      ,ch2 [V]     
   6.113,   -0.064,    6.113,    0.023
   6.115,   -0.066,    6.115,    0.024
   6.118,   -0.067,    6.118,    0.024
   6.120,   -0.067,    6.120,    0.024
   6.123,   -0.064,    6.123,    0.023
   6.126,   -0.067,    6.126,    0.024
   6.128,   -0.066,    6.128,    0.024
   6.131,   -0.067,    6.131,    0.024
   6.133,   -0.069,    6.133,    0.024
   6.136,   -0.068,    6.136,    0.024
   6.138,   -0.067,    6.138,    0.024
   6.141,   -0.069,    6.141,    0.025
   6.144,   -0.068,    6.144,    0.024
   6.146,   -0.067,    6.146,    0.024
   6.149,   -0.070,    6.149,    0.025
   6.151,   -0.067,    6.151,    0.024
   6.154,   -0.068,    6.154,    0.025
   6.156,   -0.066,    6.156,    0.024
   6.159,   -0.066,    6.159,    0.024
   6.161,   -0.067,    6.161,    0.024
   6.164,   -0.067,    6.164,    0.025
   6.167,   -0.069,    6.167,    0.025
   6.169,   -0.065,    6.169,    0.024
   6.172,   -0.068,    6.172,    0.025
   6.174,   -0.067,    6.174,    0.025
   6.177,   -0.069,    6.177,    0.025
   6.179,   -0.070,    6.179,    0.025
   6.182,   -0.069,    6.182,    0.025
   6.184,   -0.072,    6.184,    0.026
   6.187,   -0.067,    6.187,    0.025
   6.190,   -0.069,    6.190,    0.025
   6.192,   -0.065,    6.192,    0.025
   6.195,   -0.072,    6.195,    0.025
   6.197,   -0.068,    6.197,    0.025
   6.200,   -0.067,    6.200,    0.025
   6.202,   -0.066,    6.202,    0.025
   6.205,   -0.071,    6.205,    0.026
   6.207,   -0.070,    6.207,    0.025
   6.210,   -0.068,    6.210,    0.025
   6.213,   -0.072,    6.213,    0.026
   6.215,   -0.069,    6.215,    0.026
   6.218,   -0.070,    6.218,    0.026
   6.220,   -0.071,    6.220,    0.026
   6.223,   -0.071,    6.223,    0.026
   6.225,   -0.071,    6.225,    0.026
   6.228,   -0.070,    6.228,    0.026
   6.231,   -0.074,    6.231,    0.026
   6.233,   -0.074,    6.233,    0.027
   6.236,   -0.072,    6.236,    0.026
   6.238,   -0.073,    6.238,    0.026
   6.241,   -0.073,    6.241,    0.027
   6.243,   -0.075,    6.243,    0.027
   6.246,   -0.075,    6.246,    0.026
   6.248,   -0.076,    6.248,    0.027
   6.251,   -0.071,    6.251,    0.027
   6.254,   -0.075,    6.254,    0.027
   6.256,   -0.072,    6.256,    0.026
   6.259,   -0.072,    6.259,    0.026
   6.261,   -0.075,    6.261,    0.027
   6.264,   -0.074,    6.264,    0.027
   6.266,   -0.073,    6.266,    0.027
   6.269,   -0.074,    6.269,    0.027
   6.271,   -0.076,    6.271,    0.027
   6.274,   -0.076,    6.274,    0.027
   6.277,   -0.076,    6.277,    0.027
   6.279,   -0.075,    6.279,    0.027
   6.282,   -0.072,    6.282,    0.027
   6.284,   -0.072,    6.284,    0.027
   6.287,   -0.080,    6.287,    0.028
   6.289,   -0.076,    6.289,    0.027
   6.292,   -0.075,    6.292,    0.028
   6.295,   -0.076,    6.295,    0.028
   6.297,   -0.073,    6.297,    0.028
   6.300,   -0.076,    6.300,    0.028
   6.302,   -0.074,    6.302,    0.027
   6.305,   -0.076,    6.305,    0.028
   6.307,   -0.073,    6.307,    0.027
   6.310,   -0.077,    6.310,    0.028
   6.312,   -0.071,    6.312,    0.027
   6.315,   -0.077,    6.315,    0.028
   6.318,   -0.082,    6.318,    0.028
   6.320,   -0.075,    6.320,    0.028
   6.323,   -0.078,    6.323,    0.028
   6.325,   -0.076,    6.325,    0.028
   6.328,   -0.077,    6.328,    0.028
   6.330,   -0.076,    6.330,    0.028
   6.333,   -0.079,    6.333,    0.028
   6.335,   -0.077,    6.335,    0.028
   6.338,   -0.076,    6.338,    0.028
   6.341,   -0.077,    6.341,    0.028
   6.343,   -0.080,    6.343,    0.028
   6.346,   -0.082,    6.346,    0.029
   6.348,   -0.077,    6.348,    0.028
   6.351,   -0.075,    6.351,    0.028
   6.353,   -0.078,    6.353,    0.028
   6.356,   -0.077,    6.356,    0.028
   6.359,   -0.076,    6.359,    0.028
   6.361,   -0.078,    6.361,    0.028
   6.364,   -0.078,    6.364,    0.028
   6.366,   -0.080,    6.366,    0.028
   6.369,   -0.077,    6.369,    0.028
   6.371,   -0.077,    6.371,    0.028
   6.374,   -0.075,    6.374,    0.027
   6.376,   -0.081,    6.376,    0.028
   6.379,   -0.082,    6.379,    0.028
   6.382,   -0.080,    6.382,    0.028
   6.384,   -0.081,    6.384,    0.028
   6.387,   -0.079,    6.387,    0.028
   6.389,   -0.082,    6.389,    0.028
   6.392,   -0.083,    6.392,    0.028
   6.394,   -0.080,    6.394,    0.028
   6.397,   -0.077,    6.397,    0.027
   6.399,   -0.084,    6.399,    0.029
   6.402,   -0.082,    6.402,    0.028
   6.405,   -0.081,    6.405,    0.028
   6.407,   -0.084,    6.407,    0.028
   6.410,   -0.083,    6.410,    0.028
   6.412,   -0.080,    6.412,    0.028
   6.415,   -0.080,    6.415,    0.027
   6.417,   -0.080,    6.417,    0.028
   6.420,   -0.085,    6.420,    0.028
   6.423,   -0.084,    6.423,    0.028
   6.425,   -0.084,    6.425,    0.028
   6.428,   -0.083,    6.428,    0.028
   6.430,   -0.084,    6.430,    0.028
   6.433,   -0.088,    6.433,    0.029
   6.435,   -0.086,    6.435,    0.028
   6.438,   -0.086,    6.438,    0.028
   6.440,   -0.084,    6.440,    0.028
   6.443,   -0.083,    6.443,    0.028
   6.446,   -0.086,    6.446,    0.028
   6.448,   -0.086,    6.448,    0.028
   6.451,   -0.086,    6.451,    0.028
   6.453,   -0.086,    6.453,    0.028
   6.456,   -0.090,    6.456,    0.028
   6.458,   -0.086,    6.458,    0.028
   6.461,   -0.085,    6.461,    0.028
   6.463,   -0.087,    6.463,    0.028
   6.466,   -0.085,    6.466,    0.027
   6.469,   -0.087,    6.469,    0.028
   6.471,   -0.087,    6.471,    0.028
   6.474,   -0.086,    6.474,    0.028
   6.476,   -0.086,    6.476,    0.027
   6.479,   -0.086,    6.479,    0.028
   6.481,   -0.089,    6.481,    0.028
   6.484,   -0.087,    6.484,    0.027
   6.487,   -0.088,    6.487,    0.028
   6.489,   -0.088,    6.489,    0.028
   6.492,   -0.087,    6.492,    0.028
