# Temperatura celda = 26.6º, Temperatura Laser = 23.926º, Frecuencia Rampa = 79.13 Hz, Amplitud = 76 mVpp, Offset = -4.9 mV, Error Mean = 528, Error std = 560
t1 [us]      ,ch1 [V]     ,t2 [us]      ,ch2 [V]     
   6.110,   -0.095,    6.110,    0.032
   6.113,   -0.095,    6.113,    0.032
   6.115,   -0.100,    6.115,    0.032
   6.118,   -0.105,    6.118,    0.033
   6.120,   -0.096,    6.120,    0.032
   6.123,   -0.097,    6.123,    0.032
   6.126,   -0.100,    6.126,    0.033
   6.128,   -0.099,    6.128,    0.033
   6.131,   -0.102,    6.131,    0.033
   6.133,   -0.103,    6.133,    0.033
   6.136,   -0.103,    6.136,    0.033
   6.138,   -0.102,    6.138,    0.033
   6.141,   -0.104,    6.141,    0.033
   6.144,   -0.102,    6.144,    0.033
   6.146,   -0.104,    6.146,    0.033
   6.149,   -0.101,    6.149,    0.033
   6.151,   -0.104,    6.151,    0.033
   6.154,   -0.108,    6.154,    0.033
   6.156,   -0.103,    6.156,    0.033
   6.159,   -0.104,    6.159,    0.033
   6.161,   -0.106,    6.161,    0.033
   6.164,   -0.101,    6.164,    0.033
   6.167,   -0.106,    6.167,    0.033
   6.169,   -0.108,    6.169,    0.034
   6.172,   -0.102,    6.172,    0.033
   6.174,   -0.108,    6.174,    0.034
   6.177,   -0.107,    6.177,    0.034
   6.179,   -0.106,    6.179,    0.034
   6.182,   -0.107,    6.182,    0.034
   6.184,   -0.109,    6.184,    0.034
   6.187,   -0.108,    6.187,    0.034
   6.190,   -0.109,    6.190,    0.034
   6.192,   -0.111,    6.192,    0.034
   6.195,   -0.108,    6.195,    0.034
   6.197,   -0.111,    6.197,    0.034
   6.200,   -0.110,    6.200,    0.034
   6.202,   -0.110,    6.202,    0.034
   6.205,   -0.115,    6.205,    0.035
   6.207,   -0.111,    6.207,    0.034
   6.210,   -0.118,    6.210,    0.035
   6.213,   -0.116,    6.213,    0.035
   6.215,   -0.115,    6.215,    0.035
   6.218,   -0.115,    6.218,    0.035
   6.220,   -0.119,    6.220,    0.035
   6.223,   -0.121,    6.223,    0.035
   6.225,   -0.118,    6.225,    0.035
   6.228,   -0.122,    6.228,    0.035
   6.231,   -0.128,    6.231,    0.036
   6.233,   -0.131,    6.233,    0.036
   6.236,   -0.139,    6.236,    0.037
   6.238,   -0.134,    6.238,    0.036
   6.241,   -0.136,    6.241,    0.036
   6.243,   -0.148,    6.243,    0.037
   6.246,   -0.157,    6.246,    0.038
   6.248,   -0.170,    6.248,    0.039
   6.251,   -0.168,    6.251,    0.039
   6.254,   -0.190,    6.254,    0.040
   6.256,   -0.187,    6.256,    0.040
   6.259,   -0.159,    6.259,    0.038
   6.261,   -0.142,    6.261,    0.037
   6.264,   -0.107,    6.264,    0.035
   6.266,   -0.085,    6.266,    0.034
   6.269,   -0.046,    6.269,    0.031
   6.271,   -0.034,    6.271,    0.030
   6.274,   -0.042,    6.274,    0.031
   6.277,   -0.046,    6.277,    0.031
   6.279,   -0.069,    6.279,    0.032
   6.282,   -0.085,    6.282,    0.034
   6.284,   -0.094,    6.284,    0.034
   6.287,   -0.099,    6.287,    0.035
   6.289,   -0.103,    6.289,    0.035
   6.292,   -0.117,    6.292,    0.036
   6.295,   -0.123,    6.295,    0.036
   6.297,   -0.133,    6.297,    0.037
   6.300,   -0.137,    6.300,    0.037
   6.302,   -0.140,    6.302,    0.037
   6.305,   -0.142,    6.305,    0.038
   6.307,   -0.147,    6.307,    0.038
   6.310,   -0.144,    6.310,    0.038
   6.312,   -0.142,    6.312,    0.038
   6.315,   -0.145,    6.315,    0.038
   6.318,   -0.147,    6.318,    0.038
   6.320,   -0.150,    6.320,    0.039
   6.323,   -0.145,    6.323,    0.038
   6.325,   -0.150,    6.325,    0.038
   6.328,   -0.157,    6.328,    0.039
